"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"26 years"	"26"	340	2299989	14.8
	"2001"	"2001"	"27 years"	"27"	324	2239621	14.5
	"2001"	"2001"	"28 years"	"28"	385	2307810	16.7
	"2001"	"2001"	"29 years"	"29"	383	2478168	15.5
	"2001"	"2001"	"30 years"	"30"	432	2711131	15.9
	"2001"	"2001"	"31 years"	"31"	436	2786909	15.6
	"2001"	"2001"	"32 years"	"32"	396	2671374	14.8
	"2001"	"2001"	"33 years"	"33"	429	2619875	16.4
	"2001"	"2001"	"34 years"	"34"	423	2676615	15.8
	"2001"	"2001"	"35 years"	"35"	464	2766030	16.8
	"2001"	"2001"	"36 years"	"36"	472	3007912	15.7
	"2001"	"2001"	"37 years"	"37"	525	3113466	16.9
	"2001"	"2001"	"38 years"	"38"	561	3146412	17.8
	"2001"	"2001"	"39 years"	"39"	599	3204712	18.7
	"2001"	"2001"	"40 years"	"40"	609	3280608	18.6
	"2001"	"2001"	"41 years"	"41"	597	3330776	17.9
	"2001"	"2001"	"42 years"	"42"	575	3250915	17.7
	"2001"	"2001"	"43 years"	"43"	612	3290167	18.6
	"2001"	"2001"	"44 years"	"44"	590	3270086	18.0
	"2001"	"2001"	"45 years"	"45"	555	3152637	17.6
	"2001"	"2001"	"46 years"	"46"	582	3187395	18.3
	"2001"	"2001"	"47 years"	"47"	621	3090759	20.1
	"2001"	"2001"	"48 years"	"48"	585	3014952	19.4
	"2001"	"2001"	"49 years"	"49"	554	2939711	18.8
	"2001"	"2001"	"50 years"	"50"	544	2862088	19.0
	"2001"	"2001"	"51 years"	"51"	475	2849382	16.7
	"2001"	"2001"	"52 years"	"52"	463	2792840	16.6
	"2001"	"2001"	"53 years"	"53"	467	2812905	16.6
	"2001"	"2001"	"54 years"	"54"	446	3030862	14.7
	"2001"	"2001"	"55 years"	"55"	393	2196182	17.9
	"2001"	"2001"	"56 years"	"56"	349	2205932	15.8
	"2001"	"2001"	"57 years"	"57"	366	2205387	16.6
	"2001"	"2001"	"58 years"	"58"	372	2319501	16.0
	"2001"	"2001"	"59 years"	"59"	307	2032037	15.1
	"2001"	"2001"	"60 years"	"60"	269	1874931	14.3
	"2001"	"2001"	"61 years"	"61"	241	1816598	13.3
	"2001"	"2001"	"62 years"	"62"	240	1750213	13.7
	"2001"	"2001"	"63 years"	"63"	226	1720329	13.1
	"2001"	"2001"	"64 years"	"64"	216	1622340	13.3
	"2001"	"2001"	"65 years"	"65"	214	1597045	13.4
	"2001"	"2001"	"66 years"	"66"	216	1601439	13.5
	"2001"	"2001"	"67 years"	"67"	216	1478496	14.6
	"2001"	"2001"	"68 years"	"68"	206	1491313	13.8
	"2001"	"2001"	"69 years"	"69"	233	1491369	15.6
	"2001"	"2001"	"70 years"	"70"	231	1491383	15.5
	"2001"	"2001"	"71 years"	"71"	220	1509987	14.6
	"2001"	"2001"	"72 years"	"72"	195	1441542	13.5
	"2001"	"2001"	"73 years"	"73"	237	1443735	16.4
	"2001"	"2001"	"74 years"	"74"	219	1409165	15.5
	"2001"	"2001"	"75 years"	"75"	233	1352902	17.2
	"2001"	"2001"	"76 years"	"76"	258	1341332	19.2
	"2001"	"2001"	"77 years"	"77"	233	1279005	18.2
	"2001"	"2001"	"78 years"	"78"	211	1199797	17.6
	"2001"	"2001"	"79 years"	"79"	209	1156826	18.1
	"2001"	"2001"	"80 years"	"80"	225	1086296	20.7
	"2001"	"2001"	"81 years"	"81"	181	992597	18.2
	"2001"	"2001"	"82 years"	"82"	168	861886	19.5
	"2001"	"2001"	"83 years"	"83"	178	811148	21.9
	"2001"	"2001"	"84 years"	"84"	153	708523	21.6
	"2001"	"2001"	"85 years"	"85"	125	Not Applicable	Not Applicable
	"2001"	"2001"	"86 years"	"86"	104	Not Applicable	Not Applicable
	"2001"	"2001"	"87 years"	"87"	98	Not Applicable	Not Applicable
	"2001"	"2001"	"88 years"	"88"	89	Not Applicable	Not Applicable
	"2001"	"2001"	"89 years"	"89"	85	Not Applicable	Not Applicable
	"2001"	"2001"	"90 years"	"90"	53	Not Applicable	Not Applicable
	"2001"	"2001"	"91 years"	"91"	61	Not Applicable	Not Applicable
